,c_id,user_name,thread_id,comment_date,is_reaction_comment,reactions_kind,personas_kind
109,c2060402045,outnumbered*by*babes,a14406465,09/02/2009,True,reaction,author_child
110,c2060943414,FastLoris,a14642165,09/04/2009,True,"reaction, seizure","unclear, author_child"
111,c2061005752,babybell09,a14653495,09/05/2009,True,allergic reaction,author_child
112,c2061909790,Queenofmyhouse,a14821065,09/09/2009,False,,
113,c2062171225,sweety1981md,a14860465,09/10/2009,True,fever,author_child
114,c2062321563,beautifulnight,a14917665,09/10/2009,True,side effect,author
115,c2062323689,alibaker02,a14924105,09/10/2009,True,"fever, lump, fussy","unclear, author_child"
116,c2062787665,masonsmommy,a15007555,09/12/2009,True,reaction,author_child
117,c2062790595,ironmom2b,a14985305,09/12/2009,True,pain,author
118,c2062792132,geisslerfamily,a14978325,09/12/2009,True,reaction,author_child
119,c2062996349,mir1975,a15007555,09/13/2009,True,fever,author_child
120,c2063113576,springmommy1,a15060285,09/14/2009,False,,
121,c2063258213,justjen3,a15094495,09/14/2009,True,lump,"unclear, author_child"
122,c2063640361,ashwalla,a15137185,09/16/2009,True,"fever, fussy",author_child
123,c2065448783,chels0915,a15578575,09/23/2009,True,"runny nose, fever",author
124,c2066088092,nylamleht,a15599195,09/24/2009,True,pain,author
125,c2066203881,Jok123,a15620635,09/24/2009,True,fever,unclear
126,c2066893477,Carolyn227,a15755235,09/27/2009,True,reaction,author
127,c2066985394,jrsymamato5,a15824615,09/28/2009,True,regression,author_child
128,c2067164778,Mom2L&D,a15864925,09/28/2009,False,,
129,c2068262154,Tande7849,a15967405,10/01/2009,True,fever,unclear
130,c2069372411,wstecker,a15509905,10/05/2009,True,injury,unclear
131,c2069604113,ILoveMandM's,a16298815,10/06/2009,True,fever,author_child
132,c2069645026,nurseANDmommy2B,a16310155,10/06/2009,False,,
133,c2069934494,Rosebud 41,a16381265,10/07/2009,False,,
134,c2070339040,hfawn,a16446195,10/09/2009,True,"rash, rash, rash",unclear
135,c2070359786,New Texas Momma,a16406595,10/09/2009,True,fever,author
136,c2070683341,kittylove86,a16509855,10/10/2009,True,pain,author
137,c2070762373,mommyriddle17,a16504775,10/11/2009,False,,
138,c2071185687,angel1181,a15830155,10/12/2009,False,,
139,c2071345280,Melissa7955,a16479475,10/13/2009,True,pain,author
140,c2071350370,skitzoette,a16647055,10/13/2009,True,reaction,author
141,c2071975772,mnmom23,a16698645,10/15/2009,True,reaction,author
142,c2072199182,nhmom16,a16755225,10/16/2009,True,,unclear
143,c2072202513,MyGurl9386,a16828025,10/16/2009,True,fever,author
144,c2072474872,Lovingmommyhood59,a16875365,10/17/2009,False,,
145,c2072691948,ca_lull,a16899495,10/18/2009,False,,
146,c2072772469,MommytoLiv-N-Nick,a16933495,10/18/2009,True,"fever, pain","unclear, author"
147,c2072913844,1hipbabysmom,a16950625,10/19/2009,False,,
148,c2072981908,drbabyg,a16980235,10/19/2009,False,,
149,c2073222813,CupieLove,a16953475,10/20/2009,True,fever,author_child
150,c2073323519,DeannaKyre,a17053785,10/20/2009,True,fussy,author_child
151,c2073342758,Tre'sAngel,a17062555,10/20/2009,False,,
152,c2073370574,Choklitdragon786,a17067515,10/21/2009,False,,
153,c2073898153,Maki27,a17053785,10/21/2009,True,fever,author_child
154,c2073927283,3greyhoundsmom,a17070565,10/21/2009,False,,
155,c2074113542,mattmattmoma,a17142505,10/22/2009,True,side effect,unclear
156,c2074210668,ljt09863,a17152845,10/22/2009,True,reaction,unclear
157,c2074335120,Qurly~Ques,a17178555,10/22/2009,False,,
158,c2074535210,momof2andabean,a17164815,10/23/2009,False,,
159,c2074577085,aljebra,a17232475,10/23/2009,False,,
160,c2074645519,4boys&3dogs,a17251645,10/23/2009,False,,
161,c2074647462,skyes mama,a17244965,10/23/2009,True,"fever, diarrhea",others
162,c2074649297,jillpd74,a17254115,10/23/2009,True,fussy,author_child
163,c2074792446,kellief11,a17155025,10/24/2009,True,reaction,unclear
164,c2074868660,Morgan*K*S,a17248385,10/24/2009,True,pain,unclear
165,c2075261199,AimeePB,a17237165,10/26/2009,False,,
166,c2075267268,nursebri5182,a17357195,10/26/2009,True,pain,author
167,c2075410092,elvee82,a17337685,10/26/2009,False,,
168,c2075545097,Jana1978,a17401285,10/27/2009,True,pain,author
169,c2075566236,latoi78,a17408445,10/27/2009,False,,
170,c2075619450,Jahima,a17407815,10/27/2009,True,pain,author
171,c2075668237,missa26,a17438805,10/27/2009,True,reaction,author_child
172,c2075685369,Anna1kristine,a17408445,10/27/2009,True,pain,author
173,c2075687037,momokain,a17408445,10/27/2009,True,pain,unclear
174,c2075707251,karebear76,a17158095,10/27/2009,True,pain,author
175,c2075856686,RachelD15,a16765305,10/28/2009,True,pain,author
176,c2075858486,tenny06,a17479535,10/28/2009,True,fussy,author_child
177,c2075869185,tarah1981,a17450895,10/28/2009,False,,
178,c2075889970,armywife816,a17477465,10/28/2009,True,fever,author_child
179,c2075969366,ashlp261,a17409955,10/28/2009,True,pain,unclear
180,c2075983676,Hopefulg8tr,a17487725,10/28/2009,False,,
181,c2076035626,BabyMama812,a17479535,10/28/2009,True,fussy,author_child
182,c2076704694,RubySlipperNC,a17571095,10/29/2009,False,,
183,c2076709796,KarmynMama,a17571075,10/29/2009,True,fever,"unclear, unclear"
184,c2076739296,johnjennifer2003,a17571095,10/29/2009,True,lump,author
185,c2077436872,prairiebreeze,a17451315,10/30/2009,True,pain,author
186,c2077585062,tw1nklebr1ght,a17636525,10/31/2009,True,pain,author
187,c2077629015,melwat,a17660915,10/31/2009,False,,
188,c2078079819,EricaLL,a17734525,11/02/2009,True,pain,author
189,c2078190876,villabrownie,a17451315,11/02/2009,True,pain,unclear
190,c2078333661,Prettymags,a17772245,11/03/2009,True,rash,unclear
191,c2078346199,mellany01,a17734525,11/03/2009,True,side effect,author
192,c2078648288,ashleyb2369,a17818615,11/04/2009,False,,
193,c2078775430,storey7383,a17871865,11/04/2009,True,"fever, fussy, fussy",author_child
194,c2078785428,bnbrown,a17880406,11/04/2009,False,,
195,c2078816149,yogaformypoga,a17845925,11/04/2009,False,,
196,c2079003567,ISUamanda,a17913645,11/05/2009,True,pain,unclear
197,c2079026849,giorgianalice,a17914185,11/05/2009,True,pain,author
198,c2079213159,Gemini1567,a17970085,11/06/2009,True,lethargy,unclear
199,c2079304267,tewksy,a17990265,11/06/2009,False,,
200,c2079401902,mdeboer31,a16352475,11/06/2009,False,,
201,c2079411975,nataliecollins,a18009795,11/06/2009,True,fever,author_child
202,c2079416454,lerodriguez,a17992425,11/06/2009,True,pain,author
203,c2079421022,kye_momma,a18014405,11/06/2009,False,,
204,c2079422456,tlynn206,a17405485,11/06/2009,False,,
205,c2079558401,Mimibrodysmom,a17989945,11/07/2009,False,,
206,c2079651008,**Em**,a18047475,11/07/2009,True,pain,author
207,c2079896289,krista1982,a18062285,11/08/2009,True,fussy,author_child
208,c2080034853,brownsgirl01,a18107435,11/09/2009,False,,
209,c2080179448,cweber1231,a18146085,11/09/2009,False,,
210,c2080492523,WishYouWereHere1,a18212115,11/10/2009,True,reaction,author
211,c2080494388,dalostone,a16634625,11/10/2009,True,fever,unclear
212,c2080660345,LMM423,a18228235,11/11/2009,True,seizure,author
213,c2080805030,Kathy & Ivan,a18266165,11/11/2009,True,fever,author
214,c2080829776,nuttbecky22,a18277515,11/12/2009,False,,
215,c2080970539,LindsayNT,a18295735,11/12/2009,False,,
216,c2080975265,Lynn0001,a18232625,11/12/2009,False,,
217,c2081012143,manylilblessings,a18316035,11/12/2009,True,reaction,author_child
218,c2081714069,zero3chica,a18342115,11/13/2009,False,,
219,c2081750004,Brandyl1989,a18374525,11/13/2009,False,,
220,c2081889234,Jenn2004ifer,a18374525,11/13/2009,False,,
221,c2082634277,our1stnugget,a18512055,11/16/2009,False,,
222,c2082661617,Erica_in_CA,a18533505,11/16/2009,False,,
223,c2082845029,**Erin85**,a18569585,11/17/2009,False,,
224,c2082872541,MichaelAnnD,a17420435,11/17/2009,False,,
225,c2082908312,firstimemom30,a18566785,11/17/2009,True,reaction,author_child
226,c2083011608,Pattyrerocky,a18586595,11/17/2009,False,,
227,c2083016039,bluecountrygal,a18583745,11/17/2009,False,,
228,c2083019504,hdwhittaker,a18613855,11/17/2009,False,,
229,c2083184105,mrshopkinson,a17420435,11/18/2009,True,headache,author
230,c2083185415,Ashley61487,a16322815,11/18/2009,False,,
231,c2083294479,erinh17,a18558685,11/18/2009,True,fussy,author_child
232,c2083308609,Raine23611,a18665215,11/18/2009,True,pain,author
233,c2083434094,dangermouse74,a18683745,11/19/2009,True,pain,"unclear, author"
234,c2083468216,shebeza,a18691855,11/19/2009,True,pain,author
235,c2083636798,eclipsefa,a18729095,11/19/2009,False,,
236,c2083715414,soccerfootballmom,a18617495,11/20/2009,True,reaction,author_child
237,c2084544524,mothertobe1984,a18810405,11/21/2009,False,,
238,c2084765700,Grobie4life,a18835295,11/22/2009,True,allergic reaction,unclear
239,c2085015483,Missalohamora,a18539345,11/23/2009,False,,
240,c2085116951,puceshoes,a18906025,11/23/2009,True,fussy,author_child
241,c2085178830,Redllk,a18927045,11/23/2009,False,,
242,c2085355195,danielleomalley,a18957815,11/24/2009,True,pain,author
243,c2085500698,rockinsteadyy,a18949565,11/24/2009,True,fussy,unclear
244,c2085756946,tracylynn,a19024975,11/25/2009,False,,
245,c2085798932,MommaHyden75,a18767975,11/25/2009,True,seizure,author_child
246,c2085810487,Holdensmama,a19048555,11/25/2009,False,,
247,c2086228231,RebTrujillo,a19073745,11/27/2009,False,,
248,c2086310912,yasdnilelis,a19048555,11/28/2009,True,pain,unclear
249,c2086360922,daisychain94,a19073745,11/28/2009,False,,
250,c2086546071,amiles36,a16775245,11/29/2009,True,pain,unclear
251,c2086798367,MommaHyden75,a19007965,11/30/2009,True,"reaction, fever, seizure",author_child
252,c2087343632,Hmach,a19048555,11/30/2009,False,,
253,c2087970267,tiffany0814,a16775245,12/02/2009,True,pain,author
254,c2088220054,DoctorJuliann,a19310205,12/03/2009,False,,
255,c2088632366,C&Omomma,a19378545,12/04/2009,False,,
256,c2088784899,missamany,a19372485,12/04/2009,True,lump,author_child
257,c2088948576,Mommy Eubanks,a19310205,12/05/2009,True,pain,author
258,c2089490025,mattmattmoma,a19584385,12/07/2009,True,lethargy,author_child
259,c2089741467,va rd mom,a19607015,12/08/2009,False,,
260,c2089932489,Caper.Mom,a19682805,12/08/2009,False,,
261,c2090556317,kim_417,a19671575,12/09/2009,False,,
262,c2090945783,Ophelia1984,a19803195,12/10/2009,True,pain,author
263,c2091266714,suzimama,a19762155,12/12/2009,False,,
264,c2091722629,LindseyLou84,a19956665,12/14/2009,False,,
265,c2091754621,pattimayonnaise,a19968005,12/14/2009,True,,author_child
266,c2092671297,MommyOfTurkeyHead,a20051465,12/15/2009,True,fever,author_child
267,c2093623704,carpenter_cierra,a20010395,12/17/2009,False,,
268,c2093938939,IzzyKate,a20199355,12/18/2009,True,reaction,author_child
269,c2094686997,JLClyde,a20317285,12/21/2009,True,fever,author_child
270,c2095750588,Velma96,a20418615,12/22/2009,False,,
271,c2095757920,tiannasmomma,a20416165,12/22/2009,False,,
272,c2100225455,mom2beisme,a21013035,01/06/2010,False,,
273,c2101009357,jonesfamily03,a21141089,01/08/2010,False,,
274,c2101206208,Bellabee321,a21155383,01/09/2010,True,reaction,author
275,c2102772296,Nimimu16,a21218069,01/13/2010,True,reaction,author
276,c2103379212,first timer Ewelina,a21241841,01/15/2010,True,fussy,author_child
277,c2104178168,sbeery,a21271241,01/17/2010,True,reaction,author_child
278,c2105076751,mom2-2kiddos,a21304115,01/20/2010,False,,
279,c2105084187,MrsChopperDr,a21302761,01/20/2010,True,allergic reaction,author_child
280,c2105305390,finallygoing2bamom,a21315977,01/21/2010,True,fussy,author_child
281,c2105906164,buggyloo26,a21297281,01/22/2010,False,,
282,c2107200182,Pingubear,a21360965,01/24/2010,True,fussy,author_child
283,c2107288028,stephaniel24,a21365161,01/25/2010,True,"fever, fussy",author_child
284,c2109347474,veeeyloova,a21420773,01/28/2010,True,,author_child
285,c2111150232,jatwoodworth,a21479501,02/02/2010,True,pain,unclear
286,c2111564370,Good_Burger,a21483939,02/03/2010,True,reaction,unclear
287,c2111637228,TheHopes5,a21483939,02/04/2010,True,reaction,author_child
288,c2112638014,my2ladybugs,a21506177,02/06/2010,True,reaction,unclear
289,c2114132984,crazydaizie,a21435961,02/09/2010,True,reaction,author_child
290,c2115399349,DsMamaBoo,a21604339,02/12/2010,True,fever,author_child
291,c2116359670,ndmommy10,a21597951,02/15/2010,False,,
292,c2118097595,oshenview,a21674999,02/18/2010,True,fever,unclear
293,c2118159674,nikshoe,a21476653,02/18/2010,True,"reaction, fever","others, author_child"
294,c2120679548,RDB03,a21750597,02/25/2010,True,fever,author
295,c2121812789,hopefullMonique,a21797643,02/27/2010,True,seizure,others
296,c2122032900,noodleio,a21796931,02/28/2010,True,reaction,others
297,c2122811882,Kasey McGowan,a21837877,03/03/2010,True,fussy,author_child
298,c2123361062,mom2mollybear,a21857677,03/04/2010,True,fever,author_child
299,c2123412961,babyoneisfun,a21825907,03/04/2010,True,fever,author_child
300,c2124711796,tkwillis,a21894947,03/07/2010,False,,
301,c2125878505,4blues2pinks,a21915223,03/09/2010,True,reaction,author_child
302,c2125888260,04142010baby,a21909775,03/09/2010,False,,
303,c2125904850,love_my_3boys,a21905481,03/09/2010,True,reaction,unclear
304,c2126640019,susieheart,a21944331,03/11/2010,False,,
305,c2126773702,mommytobrayden2008,a21944331,03/11/2010,False,,
306,c2126946601,momto2Es,a21919443,03/11/2010,True,fever,author_child
307,c2127139387,TrekkifulShay,a21960669,03/12/2010,False,,
308,c2130448270,Katannah,a22051795,03/19/2010,True,allergic reaction,author
309,c2131299290,rpineiro,a22076027,03/22/2010,True,side effect,author
310,c2131331094,MuskratLove,a22077137,03/22/2010,True,fever,author_child
311,c2131332351,*4*2*adore,a22075513,03/22/2010,True,side effect,author_child
312,c2131901089,Michelleroni,a22093517,03/23/2010,False,,
313,c2133118474,mommydearest0220,a22140843,03/26/2010,True,fever,author_child
314,c2133266799,hvz71,a22146935,03/27/2010,True,fever,author_child
315,c2134768701,An1021,a22188209,03/30/2010,True,reaction,author_child
316,c2136496407,*DoveIIII*,a22238573,04/04/2010,True,regression,author
317,c2136507786,mandiemae1085,a22240903,04/04/2010,True,,unclear
318,c2138059403,rylansmomma,a22288635,04/07/2010,True,fever,author_child
319,c2138314236,Tracey312,a22287351,04/08/2010,True,fever,author_child
320,c2138890534,shannenandkena,a22314843,04/09/2010,True,fever,author_child
321,c2139873167,Feedmepickles,a22333373,04/12/2010,True,"reaction, diarrhea",author_child
322,c2140354465,agu2agg,a22355603,04/13/2010,True,spot,unclear
323,c2140953776,cstein80,a22378769,04/15/2010,False,,
324,c2141012278,sahmom2taylor,a22377057,04/15/2010,True,injury,author
325,c2141345030,Naaster,a22282033,04/15/2010,True,"pain, fussy",author_child
326,c2142228916,Kams_Mommy,a22414431,04/18/2010,True,"fever, rash",author_child
327,c2143354425,chrissybearjohnson,a22449751,04/21/2010,True,fever,author_child
328,c2145083258,Baby_Ahrendt,a22486547,04/23/2010,True,fussy,unclear
329,c2145172166,rosied22,a22470463,04/23/2010,False,,
330,c2147261870,Croe2010,a22525883,04/27/2010,False,,
331,c2147676141,Lilac12804,a22538883,04/28/2010,True,seizure,author_child
332,c2148331965,rthiel,a22566385,04/29/2010,True,reaction,author_child
333,c2149089731,IktomiKsa,a22588139,05/01/2010,True,reaction,author
334,c2151448099,diamondzz525,a22644997,05/05/2010,True,fussy,unclear
335,c2151459625,KYgirl405,a22644997,05/05/2010,True,"fever, fussy",author_child
336,c2152635095,babyjvb,a22663347,05/08/2010,True,diarrhea,author_child
337,c2154506897,christinenjagicortes,a22715465,05/11/2010,False,,
338,c2155789583,tarceo,a22755349,05/14/2010,False,,
339,c2156997290,NewmominBama,a22789529,05/17/2010,True,"fever, fussy",author_child
340,c2159697589,MoKa424,a22850617,05/22/2010,True,fever,author_child
341,c2160633279,Jan5D,a22878879,05/24/2010,False,,
342,c2161630075,mnm5505,a22878879,05/25/2010,True,reaction,author_child
343,c2162249602,tjk88,a22906863,05/26/2010,False,,
344,c2162322278,08MissMommy,a22906863,05/27/2010,False,,
345,c2162476121,buggyloo26,a22906863,05/27/2010,False,,
346,c2163070319,momneedinghope,a22926665,05/28/2010,False,,
347,c2163457287,gigigirl27,a22902939,05/30/2010,True,"rash, fever",author_child
348,c2163589057,ACP2006,a22906863,05/30/2010,True,fever,author_child
349,c2164922962,temarichan123,a22989559,06/02/2010,False,,
350,c2165332391,crazy4chapstick,a23004215,06/03/2010,True,fussy,author_child
351,c2165336664,bbstarr88,a22999217,06/03/2010,True,reaction,author_child
352,c2166438525,elsi2009,a23021585,06/06/2010,True,"fever, reaction","author, author_child"
353,c2166677104,buttram5,a23033865,06/07/2010,True,reaction,author
354,c2167991029,teacherske,a23065339,06/08/2010,False,,
355,c2168225740,bjenkins1097,a23065339,06/09/2010,True,fever,author_child
356,c2169085223,dee-h0589,a23099567,06/11/2010,True,reaction,unclear
357,c2169289373,momtonateandmags,a23106613,06/11/2010,True,reaction,author_child
358,c2169921452,HadaGirl!,a23110863,06/13/2010,True,rash,unclear
359,c2169961654,Kittencat629,a23123653,06/13/2010,True,reaction,author_child
360,c2169981364,1stmommy09,a23112895,06/13/2010,True,rash,unclear
361,c2170371809,Emma0215,a23138375,06/14/2010,False,,
362,c2171124935,sbrooks2010,a23166143,06/16/2010,False,,
363,c2171643482,monica0414,a23183109,06/17/2010,True,fussy,author_child
364,c2172609950,nwoutdoorgrl,a23209229,06/20/2010,True,fussy,author_child
365,c2172737672,Crunchy Frog,a23202107,06/21/2010,True,reaction,unclear
366,c2173350925,ajsmiley1,a23232939,06/22/2010,True,fever,author_child
367,c2175728880,Annalise's Mom ;-P,a23303583,06/28/2010,True,"fever, spot",author_child
368,c2175944387,March29Mommy,a23316741,06/28/2010,True,fever,author_child
369,c2176884093,Texan_Baby,a23324667,06/29/2010,False,,
370,c2176982387,ennac,a23318205,06/29/2010,True,fever,author_child
371,c2177279393,walker2006,a23333283,06/30/2010,True,reaction,author
372,c2177321621,Melly1276,a23338705,06/30/2010,True,reaction,author_child
373,c2177512962,Nerak_69,a23338437,06/30/2010,False,,
374,c2178097614,Jessica-MadisonsMom,a23350257,07/02/2010,False,,
375,c2178623347,shirabayla,a23377473,07/03/2010,True,reaction,"others, author_child"
376,c2179303735,Nerrisa91,a23395621,07/05/2010,True,"lethargy, fussy",author_child
377,c2180156141,NinaLeigh,a23338705,07/07/2010,False,,
378,c2180675441,nury123,a23439617,07/09/2010,False,,
379,c2181284564,4onearth1withwings,a23452141,07/10/2010,True,reaction,author_child
380,c2181412725,KristyKisses,a23459163,07/10/2010,True,fever,unclear
381,c2183202019,SummerMom716,a23507155,07/14/2010,True,fever,unclear
382,c2183521049,alice0715,a23525203,07/15/2010,True,reaction,unclear
383,c2183550265,esherrera,a23526745,07/15/2010,True,side effect,unclear
384,c2183899173,deb70b,a23525203,07/16/2010,True,"reaction, allergic reaction, fever","unclear, author_child"
385,c2184069027,christelc,a23542599,07/16/2010,True,fussy,author_child
386,c2184955669,bjenkins1097,a23564729,07/19/2010,True,fever,author_child
387,c2184961268,2girls4me0105,a23548375,07/19/2010,True,lump,author_child
388,c2188112980,Nerrisa91,a23631865,07/24/2010,True,reaction,author_child
389,c2188472365,evilxylo,a23649769,07/25/2010,True,reaction,author
390,c2188720195,MyTwoBoys,a23641621,07/26/2010,True,reaction,"author_child, author"
391,c2189501853,Neicers625,a23669921,07/28/2010,False,,
392,c2190158668,May7-2010,a23703379,07/29/2010,True,fever,author_child
393,c2190192211,pepsi0709,a23705553,07/29/2010,True,fever,author_child
