,thread_title,thread_id
235,Response from Sister when asking her to get the Tdap vaccine,a71322493
236,MTHFR and Rhogam? Delayed Vaccine Schedule possible in NYC?,a69280565
237,Pro Vaccines Vs Anti Vaccines,a50835331
238,Stupid effing vaccines,a61108552
239,How do you space out vaccines,a66180352
240,The truth about vaccines docu-series... watch?,a66183451
241,MMR VACCINE i have concerns safe or not?,a61812517
242,Vaccines..yes or no?,a48464329
243,"I want to vaccinate, my DH doesn't. Help.",a64009723
244,Vaccination symptoms,a71245231
245,Vaccine reaction,a66679840
246,vaccines and autism,a50831323
247,"Ok, I'm kinda gonna be ""that mom"". (Sorry, long but important)",a68273878
248,Doctor's thoughts on Vaccines,a67643380
249,When is it okay to visit with non-vax kids?,a57426907
250,Rethink Vaccination,a46269550
251,Whipping cough vaccine!!!!,a61950100
252,TDap vaccine,a65614222
253,Anxiety over letting MIL hold LO,a70700923
255,2mth old first vaccines.. Freaking out!!,a64322884
256,Who made family get shots/vaccines before the baby came?,a65405206
258,Unvaccinated map,a69490553
259,Baby having reaction to rabies vaccine,a35645590
261,How important is flu vaccine for visitors?,a66201190
262,Afraid to leave baby with husband,a69878678
263,Has anyone had the 17P vaccinations?,a65590849
264,2 months vaccination,a67167634
265,opinions on tdap vaccine?,a71022559
267,Vaccine temperature,a60752653
268,2 month vaccines,a69248204
269,Rabies Vaccine,a66722026
270,Steroid shot for lung development,a70391747
271,Scared mom,a68769583
272,Vaccinations.,a68606611
273,Anyone Declining TDap Vaccine?,a63881944
274,Vaccinating a fetus,a62592034
275,Tdap vaccine,a69995174
276,2 month vaccines,a70424408
278,Tdap vaccination yes or no?,a70444016
279,Whooping Cough vaccine,a70642969
280,"I’m kinda venting, and also seeking advice",a70078757
281,RhoGam Shot Really Necessary?,a68960497
284,How do you decide whether or not to get the flu vaccine for your kids?,a59744695
287,How safe are DTaP and Flu vaccine,a64210555
288,tdap vaccine,a61893466
289,Anyone ?,a71208253
291,Unvaccinated child,a70544875
292,Quaratines,a73139287
293,How many vaccines?,a61550167
294,Too harsh on my in laws?,a70175387
297,vaccines - it shouldnt be a debate!,a55047253
298,Demanding Pertussis Vaccine leading to Family Drama: Ud in Op,a45136837
299,Vaccine Week: Arizona Measles Crisis Edition,a54950395
300,SB277 Bill Mandatory vaccinations except for medical exemption Poll,a56657974
302,"Whooping Cough Vaccine, pain?!",a70270265
303,Pertussis vaccine during pregnancy,a59001943
305,Won't get pertussis vaccine,a58031197
307,Vaccine-Constipation?,a70636777
308,Whats the big deal about the tdap vaccine?,a59208823
309,Mumps outbreak 🙃,a70837093
311,MMR & TDAP Vaccine Reaction?,a70100144
312,Cold and Flu Season/ Taking LO out in public!,a70680544
313,Im begging you not to open this if you dont vaccinate (flu shot/toddler question),a58841731
314,Why we chose not to vaccinate.,a49167706
315,vaccination disagreement,a41562127
316,How long after getting a vaccine...,a66647677
317,Flu vaccine,a67728271
318,Boring rotavirus vaccine question,a61991008
320,Poll! Will you be giving LO flu vaccine?,a53457685
321,Life Cycle of a Birth Board,a68794222
322,2 month old shots- opinions,a71060173
323,Whooping Cough Vaccination,a63995818
324,2 Month Vaccinations / Upset Kiddo / Sad Mom,a67452712
325,Decision to non-vaccinate - information please,a55006357
326,Requiring your Sitters/Family Members/Daycare Providers be Vaccinated,a57804442
327,Poll- HPV Vaccine,a61049380
328,anybody getting whooping cough vaccine?,a62293483
329,what are your views on vaccinations?,a54780562
330,Vax moms,a69409076
331,Circumcision & Vaccination,a68264785
333,Vaccines,a64000414
334,Vaccination poll,a61496329
336,Flu freakout,a68460928
337,Anyone else worried about vaccines?,a56176546
338,Tdap vaccine?,a68405260
339,Vaccines,a65319523
340,Scared to have LO get MMR.,a73089721
341,Brain fart...when do babies get the measles vaccination?,a71250379
342,Really swollen lymphnodes- new update 4,a65704144
343,Careless about flu?,a68328898
344,TDap,a70536469
345,Tdap vaccine,a69265169
346,Whooping cough vaccine reaction?,a70268495
347,Vaccines!!!!,a70426715
348,Flu vaccine,a70341932
349,2 month vaccinations,a70833466
351,"""Vaccines save lives, a little high fructose corn syrup occasionally won't kill my kid..."" group",a66156661
353,Vaccine side effects from FDA vaccine package insert,a68199649
354,Anyone not vaccinating?,a54265921
355,Dtap/ whooping cough vaccine,a63020245
358,Child died from vaccines: a mothers sad story,a50193070
359,Any anti-vaccine mamas/papas out there?,a69201449
360,The damage of anti-vaccination movement around the world,a47352772
362,Vaccine shedding?,a66281341
363,Flu shot?,a70217297
364,Vaccinations!!!..,a66157138
365,Vaccine awareness/education,a69742220
366,No poop after vaccines?,a63500752
368,TDap side effects,a71092987
369,24 hours since vaccinations.,a66208957
370,POLL Vaccines and Lifestyle,a67736971
371,MIL (and DH) against me about vaccination..,a65247319
372,I made the official announcement...Some people are going to be mad!,a69697421
373,Am I the only one?!,a67796464
374,"Help me be rational...any veterinarians, doctors, people who know about cats/bats/rabies",a70441385
375,Doctors and vaccines,a55019677
376,Grandparents and TDap vaccine,a69421559
377,Do/did you vaccinate your dogs?,a68539789
378,Diarrhea after rotavirus vaccine?,a66401911
380,QOTD: How did you handle relatives that were not up-to-date on their vaccinations?,a67954405
381,Grandparents and TDap vaccine,a69421550
382,Hard knots under skin after vaccines,a54855655
383,Not Letting kids play with non-vaccinated children?,a53369068
385,Vaccinations,a71220904
386,Vaccines,a66668911
387,Human Rights regarding Vaccination Choice,a49388707
388,TDAP vaccine,a66334057
390,12 month vaccinations question,a69095398
391,HPV vaccine,a70297541
393,"Bell's palsy, tdap?",a50923000
395,Scared to get MMR,a69998426
396,2 month vaccine question,a67973572
397,vaccines to pregnant women?,a57727657
398,Vaccine warning— no this isn’t one of THOSE posts,a67642495
399,"""Parents' fear of vaccinations nearly killed their son""",a42572023
400,Spacing out vaccines *pro vaccines over here*,a70593127
401,How to dress for vaccines? And Tylenol,a57690748
402,Yet another study supporting vaccination,a50887231
403,Just needing to rant about the MIL,a70652542
404,hepatitis b vaccine at birth,a57017953
405,Will you be asking people around your LO to get the Whooping Cough vaccine?,a47501203
406,TDAP Vaccine who has gotten it?,a55058692
407,Is 99.4 consider a fever? Help,a69602432
408,Oh you're going to love this.. (vaccine post),a54616252
409,Honest question about Non vaccinated children playing with vaccinated.,a36258811
410,Pediatrician in Tucson who is non-vaccine friendly?,a32179843
411,Parents Should Be Jailed that don't Vaccinate,a54837847
413,SIDS caused by toxic gases in mattresses?,a22764511
414,tdap vaccine while pregnant,a65967694
415,Vaccine question,a70303910
416,Another post about vaccines :),a58208842
417,Shots and sleeping thru the night,a70408826
418,Vaccines,a56537731
419,To Vaccinate or Not to Vaccinate? Mini Discussion,a42876487
420,Hep b vaccine,a73189843
421,#AfterVaccinationProblems?,a69634835
422,For moms aganist rotavirus vac and why?,a70661449
423,Vaccines,a69455222
427,MMR & Varicella ?? Can they be delayed?,a69660584
429,Asking family to get vaccinated?,a69117776
430,Whooping cough vaccine during pregnancy?,a57863881
432,Setting Boundaries with MIL,a69779312
433,Vaccine reaction,a66612181
435,Homeopathic Vaccines *not looking for a debate*,a66861181
436,Can I Space 2 month Vaccinations,a68820859
437,Vaccines,a62311105
439,SIL kind of freaked on me.....,a52621333
440,let baby play with non-vaccinated kids?,a49583641
441,Unvaccinated visitors,a65985103
443,Teen Sneaks and gets Vaccinated,a57988462
444,2 month vaccines- question,a67482595
445,Dtap vaccine,a59953348
446,Kat Von D Boycott,a69483197
447,To vaccinate or not.,a65052061
449,Who is vaccinating? Who isn't?,a66831175
451,Delayed vaccines,a63642514
452,Chickenpox after vaccination,a65260690
454,Rotavirus Vaccine side effects,a67075759
455,Whooping cough confirmed in my area,a72310129
457,Flu vaccine,a53660524
458,The Flu Shot,a67595056
459,Anyone follow an alternate vaccine schedule?,a66184858
460,Dtap Can Cause SIDS *From FDA Source*,a30400851
461,OT: Opinions on the HPV vaccine,a59205907
462,Vaccination,a67458643
463,When does baby get his rabies vaccine?!,a62794057
464,Being bullied,a70332692
466,Go figure - flu vaccine and exposure...,a71114899
467,For those who split the 4-6 yo vaccines...,a66547915
468,Vaccines and visitors with 6 week old- need advice!,a51528859
469,any moms delaying vaccinations ? or choosing not to vaccinate??,a50879704
471,Flu Vaccine,a64332307
472,Question about Vaccines.....need REAL input..,a55122094
474,Vaccines,a67152643
475,"Be careful with MMR ( measles, mumps, and rubella) vaccine",a65428603
476,About to throw in the towel with my family!! :(,a73196881
478,Vaccinate your children,a51873292
479,MTHFR and vaccines for kids,a37406398
480,TDAP Vaccine,a63346837
481,Whooping cough vaccine?,a67949554
482,Vaccines -do you trust doctors or not?,a47698651
483,Alternative vaccine schedule?,a69795263
485,Vaccines and Autism ?,a64991167
486,To vaccinate or not to vaccinate?,a69933851
487,DH refuses to get Tdap vaccination ****Hilarious update****,a66064216
488,Friend isn't vaccinating her son :(,a67258369
489,tdap vaccine,a63309211
490,Vaccine questions,a70176835
491,Breastfeed During Vaccines?,a65424127
492,Vaccines-Just sharing,a68129878
493,Vaccination,a63463693
494,EDITED to ask about new rash: How long does fever/rash last after MMR vaccine?,a44069257
495,Non vaccinated children,a63360454
496,LO screaming non/stop after 4 month vaccines,a64279297
497,A Good Friend Won't Vaccinate,a58137856
498,SO and MIL refusing vaccinations,a54035077
501,Vaccines,a64494820
502,Adverse reaction to 1 year vaccines,a68113216
503,"PSA: vaccines, IUD's, poop, and more",a57488548
504,Vaccine Reaction? Massive Vomit & Diarrhea After 1-Year Shots Yesterday,a67893061
505,Btdt moms... chicken poxs vaccine,a65965876
506,Unvaccinated visitors,a69945521
507,FPIES and vaccinations. Do we need to take precautions?,a61301140
508,Has anyone else’s parenting style changed?,a70997245
509,Measles outbreak by me,a70547809
510,Tdap vaccine?,a66461143
511,Vaccine reaction,a69551903
512,Need vaccine advice please!!,a70576327
513,Flu vaccine,a67893265
514,Screaming after vaccinations?,a66290950
516,Anyone else having second thoughts about getting the Tdap vaccine?*UPDATE!!!!,a61309399
517,Anyone planning on NOT getting the TDAP and Flu vaccine? How about the newborn vaccines?,a67878130
518,Vaccinations after autism,a67946326
519,Excellent read on vaccines,a55518769
520,Vaccine reaction,a70319357
521,To vaccinate or not?,a68897233
522,Don't want another vaccine debate...but,a48940882
523,will your baby be getting hep b vaccine in the hospital or later at ped appt?,a67201900
524,"Long post, at a loss, overwhelmed, please help.",a66735631
525,In need of articles about vaccines,a65453704
526,Reactions to two month vaccines?,a71390980
528,Confused. Tired. Defeated.,a69903662
529,Very Long! but if you're planning on VACCINATING,a24832231
530,Vaccines,a69510662
531,Vaccines,a69735347
532,Fever after vaccines,a64184476
533,Do they get vaccinations at 9 months?,a61946917
534,Delaying vaccinations?,a66245335
535,Do vaccines cost money?,a73126945
536,4 Month Vaccinations,a66593302
537,At what age would you allow....?,a64023709
538,Mmr vaccine,a69821279
539,RSV and vaccines,a68762011
541,vaccines,a51398170
542,Vaccinations,a65974582
543,DTAP Vaccination,a66531946
544,Vaccine,a70371623
547,My mother is refusing vaccines,a70542946
548,vaccinations,a71237992
549,Good friends and vaccinations,a61424695
550,2 Month Vaccines,a66712852
551,1 year old vaccines and fever,a66645592
552,What happens to the kids that aren't vaccinated?,a67014319
553,Asking family & friends to get whooping cough & flu vaccines,a69670829
554,Flu vaccine,a68351872
555,Vaccination,a67986241
558,Tdap vaccine,a70720501
560,In disagreement with DH over 2 month vaccines *possible trigger*,a57828904
561,Miscarriages From the H1N1 Flu Shot,a18493025
563,Reaction to Tdap vaccination,a70021811
566,Thank goodness my kids aren't babies and they've been vaccinated,a54162508
567,Give me positive effects about two month vaccines!,a65977729
569,Hep B Vaccination Question,a67939843
570,It's Vaccine Awareness Week!,a66277666
571,2month vaccine question,a71185540
572,4 page email from MIL for your amusement. It is the most insane letter you will ever read!,a64675828
573,"Desperately sick, marijuana has helped tremendously",a68078158
575,HPV vaccine?,a61582276
576,scary info on MMR vaccines...?,a52133203
577,Vaccines,a65030674
578,Can I give my baby a bath after vaccinations?,a25158743
579,Baby Vaccine help!,a63833434
580,Vaccines/ Pelvic/pubic bone,a71235028
581,VACCINES & CIRCS,a66550876
582,Baby weight,a71289496
583,"Vaccinations *POLL* try not to tear each others eyeballs out. Update:: 135=Absolutely, 11=No Vaccine",a47125831
584,BTDT: Vaccine requirements for children in childcare...,a63596548
586,Vaccinating,a69000169
588,Neighbor does not vaccinate kids. Not sure what to do.,a51944911
589,Vaccine shots.. ????,a62766208
590,Whooping Cough Vaccine??,a68528881
591,Reasons why I love my state.,a70784869
593,Vaccines?,a59346349
594,1 year vaccination,a63581584
595,6 weeks vaccination experience...,a67547992
596,"FAQ Friday: Second Trimester Testing, Bleeding, Vaccinations in Pregnancy",a70216088
597,10 months no vaccines!,a64140556
598,Facebook Debate: WDYT?,a70571257
599,Tdap Vaccine??,a65098777
600,Rob Schneider TV Ad Dropped by State Farm Over Comedian's Anti-Vaccine Views,a52618072
602,Vaccines or no vaccines?,a52104010
603,"Nurses, Doctors?? Unvaccinated child around vaccinated child",a70390370
604,Vaccination Pros and Cons,a66304786
605,Whooping cough vaccine and visitors,a70654864
606,Vaccines,a62235916
608,9 month vaccinations?,a60726139
609,4 month shots,a64273009
610,Vaccinations.,a66465391
611,Tdap Questions,a67421338
613,Ally For GO! Get to know me.,a64638739
619,Vaccines !,a54774709
622,"Why you shouldn't do your ""research"" on anti vaccine websites...",a51616033
623,Confused on vaccines,a67252882
624,Nurses? Question about vaccines,a67907620
625,Measles question-,a71223874
626,Tdap Vaccine - Poll,a60072553
628,Vent/Advice Post,a69030847
630,Flu Shot Worries 😥,a71118988
631,Vaccine Rant,a44210698
632,8 weeks or 2 months for first round of vaccines?,a64941385
633,Tdap vaccine for family/ holiday parties before infant is vaccinated,a66979453
635,Vaccination Discussion... ***TRIGGER*** (Poll),a61820605
637,Tdap vaccine?,a65168215
638,"Vaccines and SIDS ""Trigger""",a54273370
639,14 weeks- flu vaccination concerns,a62494078
640,To Vaccinate or Not?,a57578602
641,vaccination war,a52222393
642,MMR Vaccine at 6 Months- Worried Update,a64261750
643,Sooo irritated,a73250119
644,Flu with Flu Shot Question,a71142169
645,Whopping cough vaccine for adults,a63164149
646,Help!!!,a70600231
648,"Question about visitors, vaccinations & definitely having a hormonal moment",a69193376
650,Test for adverse vaccine reactions?,a69577664
651,How would you respond to vaccine resistance?,a68032804
652,TDAP vaccine or flu shots,a52388017
653,Serious adult talk please.,a73196929
654,Flu Vaccine Debate!?,a51332206
655,Fever one week after 1yr vaccinations?,a64497028
657,Letting baby play with unvaccinated friend,a70356644
658,Question about vaccine for older kids OT,a67221631
660,Do I have to get vaccinated? Do visitors?,a55341394
661,Dr. Forcing me to get MMR vaccine?,a68660797
662,Advice! MIL and flu shot,a68415994
663,*Poll* I cried at my LO vaccine appt,a66275629
664,Vaccination stance on this board,a60419563
665,HPV Vaccine,a56515393
666,Did u give your 6 month old the flu vaccine?,a68808703
667,Circumcision?!? Vaccines and autism?!?!,a65429914
668,Green Diarrhea,a70787800
669,Vaccinations?! For them or against and why?,a53680516
670,MMR vaccine at 6 months,a66765091
672,Pregnancy and children vaccines?? Also Delayed scheduling question...,a64789417
673,Should Those Who Aren't Vaccinated,a52336699
674,FYI-- the reason all our children need the HPV vaccine. Poll,a68824807
675,Please be aware about the Hepatitis B vaccine,a4615685
676,6m old is not sitting unassisted yet.,a69733091
677,"Flu, whooping cough, and Tdap vaccine",a70156643
678,How to tactfully ask visitors be vaccinated or wait to visit until after flu season?,a64245295
679,Gardasil Cause of infertility?!?!?,a7628435
680,Pediatrician out of vaccines...,a59738824
681,Missed Vaccines,a66237739
682,Vaccinations - How do you hold your child?,a71057527
684,tdap? yay or nay?,a71142010
686,Tdap vaccine!!anyone there who has taken the vaccine..my doctor gave me at my 28 weeks appnt,a50958910
687,Ped said not to kiss or hug our LO sick with Rotavirus!!,a69264434
688,Vaccinations at birth,a67947787
689,Your Opinions Needed (Vaccines) POLL,a65864854
690,California Vaccination Law,a57702217
691,MIL Issues,a70064171
692,Whooping Cough Vaccine,a66409858
693,For non-vaccing/delayed vaccine moms,a48752227
694,Vaccines,a67326256
695,Whooping cough vaccine..,a63044758
696,"Hep B, Vitamin K, and Eye Ointment at birth",a70440023
698,Measles outbreak,a69919862
699,How soon will you vaccinate?,a68931079
700,*POLL* How many parents refusing Hepatitis B vaccine at birth?,a59418031
701,TDAP Vaccine did u get it?,a66644137
702,Hpw long fever with vaccines?,a68835718
703,Vaccination question (not what you think though!),a59756755
705,Whooping cough?,a69391853
706,Vaccine Question....,a70561546
708,Are vaccines safe?,a62954857
710,Measles,a69902246
711,Vaccinations!!,a70392830
712,Skipping 4 month vaccine ?,a70107569
714,This may be the first new debate I’ve heard or read in years.,a71299066
716,QOTD: How did you handle relatives that were not up-to-date on their vaccinations?,a67954414
717,SIDs after vaccinations???? (possible trigger),a54190681
718,Should I let my 2 month old get vaccinated?,a66238987
719,No words to explain it.......,a65067265
720,Feel Helpless,a70654480
721,opinions on vaccines?,a55376698
722,6 month checkup-flu vaccine?,a65588611
723,DH's new attitude - updated page 4,a71346046
724,MIL and vaccines..,a52800994
726,"Ebola Vaccine, where's Joyous?",a65143549
727,Opinions on vaccinations...,a47953705
728,4 month sleepy after vaccine,a69684941
729,Father asks school to ban unvaccinated children,a54928015
730,vaccinations - (poll) ***,a54485890
731,Trigger:Why not vaccinate? ?,a49203235
732,Vaccines,a63576592
733,Tired of vaccine talk let's talk about our babies!,a53258569
734,Vaccines,a66121720
735,Too many vaccines?,a59608321
736,To vaccinate or not??,a48715903
737,Vaccinating my 3 year old?,a70113383
738,Mandatory flu vaccines and HIPPA,a59230426
739,Vaccines?,a58500103
740,1 year vaccines...,a67767214
741,Vaccinations,a63208804
743,Juat sharing for those limiting vaccines on their children,a47123650
744,vaccines! any nurses? 3 in 1??,a57446302
746,Can I ask about vaccines? new here,a66544495
747,Is this normal 21 months old behaviour,a70474826
748,I'm clueless. Vaccines while breastfeeding.,a73093309
749,2 month vaccines,a69826415
750,Should i keep giving my 7 month old vaccine shots?,a64386253
751,Flu Vaccine at 7 Weeks Yay or Nay?,a68401171
752,Doctor forcing me to vaccinate,a68008831
753,vaccinations,a66303121
754,Torn between vaccinating and none vaccination,a64896547
755,Vaccination Relief?,a68287045
756,Tdap Vaccine,a24514239
757,"Td, Tdap vaccine?",a66152803
758,Flu Shot,a70677808
759,MIL refusing TDAP,a62978095
760,Combination Vaccines,a64796104
761,Flu Vaccine debate,a67518997
762,"Anti-vaccine mother refused vitamin K for newborn, now newborn is permanently brain damaged",a69489692
763,*long* FTM and I need serious advice! Please,a61140607
764,"Please, please, please read this if you are vaccinating your LO.",a58902712
765,Has anyone gotten two month vaccines yet?,a60396289
767,"Flu shot, how many weeks were you when you got it?",a71084218
768,Measles Outbreak,a71239252
769,MIL and vaccines,a69566705
771,Hot Topic / Trigger Warning : Friends who don't vaccinate,a67739224
772,Whooping Cough Vaccine...please advise,a63052135
773,4th month vaccine...,a63212620
775,Vaccine question,a63759295
