,sent,c_id,comment_author,thread_id,comment_date,pattern_matched,text_short,negations,amod_subj_xcomp_lemma,amod_subj_xcomp_lower,compound_subj_xcomp_lemma,compound_subj_xcomp_lower,pos_subj_xcomp_lemma,pos_subj_xcomp_lower,subject_xcomp_lemma,subject_xcomp_lower,verb_xcomp_lemma,verb_xcomp_lower,verb_phrase_xcomp,verb_tense_xcomp,amod_subj_lemma,amod_subj_lower,compound_subj_lemma,compound_subj_lower,pos_subj_lemma,pos_subj_lower,subject_lemma,subject_lower,subject_active,verb_lemma,verb_lower,verb_phrase,verb_tense,dobj_amod_lemma,dobj_amod_lower,compound_dobj_lemma,compound_dobj_lower,pos_dobj_lemma,pos_dobj_lower,dobj_lemma,dobj_lower
10,i will be vaccinating on schedule.,c2072488727,lmfitzz,a16740945,10/17/2009,schedule_noun,i will be vaccinating on schedule,1,,,,,,,,,,,,,,,,,,,i,i,ACTIVE,vaccinate,vaccinating,will be vaccinating,Future,,,,,,,schedule,schedule
11,my 2 boys have been vaccinated on schedule with no reactions or problems.,c2072488727,lmfitzz,a16740945,10/17/2009,schedule_noun,my 2 boys have been vaccinated on schedule,1,,,,,,,,,,,,,,,,,my,my,boy,boys,PASSIVE,vaccinate,vaccinated,have been vaccinated,PresentPerfect,,,,,,,schedule,schedule
12,following our ped's schedule they have never had more than 2 shots at one time.,c2072488727,lmfitzz,a16740945,10/17/2009,schedule_noun,ped's schedule they have never had,-1,,,,,,,,,,,,,,,,,,,they,they,ACTIVE,have,had,have had,PresentPerfect,,,,,ped,ped,schedule,schedule
13,"i have done some research and i still have to talk to dear fiancee, but i think i will delay the schedule like some others have said.",c2422826974,Tkdub,a42675598,06/16/2013,schedule_noun,i will delay the schedule,1,,,,,,,,,,,,,,,,,,,i,i,ACTIVE,delay,delay,will delay,Future,,,,,,,schedule,schedule
14,"i have done some research and i still have to talk to dear fiancee, but i think i will delay the schedule like some others have said.",c2422826974,Tkdub,a42675598,06/16/2013,delay_verbs,i will delay the schedule,1,,,,,,,,,,,,,,,,,,,i,i,ACTIVE,delay,delay,will delay,Future,,,,,,,schedule,schedule
15,"i am following dr sears alternative vaccine schedule..personal choice, but you have to be careful cause some pediatricians will not do a delayed or alternative schedule...",c2108922134,fromlucy2mommy,a21406155,01/27/2010,schedule_noun,i am following dr sears alternative vaccine schedule,1,,,,,,,,,,,,,,,,,,,i,i,ACTIVE,follow,following,am following,PresentContinuous,alternative,alternative,vaccine,vaccine,,,schedule,schedule
16,"i am following dr sears alternative vaccine schedule..personal choice, but you have to be careful cause some pediatricians will not do a delayed or alternative schedule...",c2108922134,fromlucy2mommy,a21406155,01/27/2010,schedule_noun,pediatricians will not do a delayed or alternative schedule,-1,,,,,,,,,,,,,,,,,,,pediatrician,pediatricians,ACTIVE,do,do,will do,Future,"delayed, alternative","delayed, alternative",,,,,schedule,schedule
17,we are also on a very delayed schedule & had to delay vaccines completely for the first year of his life because he was on nebulizer treatments off & on due to allergies.,c2358566755,ajoyfulsong,a29340023,09/10/2011,schedule_noun,we are also on a very delayed schedule,1,,,,,,,,,,,,,,,,,,,we,we,ACTIVE,be,are,are,PresentSimple,delayed,delayed,,,,,schedule,schedule
18,we are also on a very delayed schedule & had to delay vaccines completely for the first year of his life because he was on nebulizer treatments off & on due to allergies.,c2358566755,ajoyfulsong,a29340023,09/10/2011,delay_verbs,we are also on a very delayed schedule & had to delay vaccines,1,,,,,,,we,we,have,had,had,PastSimple,,,,,,,,,,delay,delay,to delay,Infinite,,,,,,,vaccine,vaccines
19,-since the administration of the current vaccination schedule the sid's rate has exponentially increased.,c2504721597,Jenna0189,a58451200,08/12/2015,schedule_noun,administration of the current vaccination schedule,1,,,,,,,,,,,,,,,,,,,administration,administration,ACTIVE,schedule,schedule,schedule,Undetermined,,,,,,,schedule,schedule
20,"and my anecdotal evidence , anyway, i do not know a single child that is delayed from vaxes.",c2361159654,Austinclucker,a29659155,10/08/2011,delay_verbs,that is delayed,1,,,,,,,,,,,,,,,,,,,that,that,PASSIVE,delay,delayed,is delayed,PresentPassive,,,,,,,,
21,i do however follow a modified schedule only getting one shot at a time.,c2360460630,AlaskanSunshine,a29635327,09/30/2011,schedule_noun,i do however follow a modified schedule,1,,,,,,,,,,,,,,,,,,,i,i,ACTIVE,follow,follow,do follow,PresentSimple,modify,modified,,,,,schedule,schedule
22,we follow a delayed schedule with dear son and will do so with our june baby as well.,c2138478657,IansMomJuly5,a22301995,04/08/2010,schedule_noun,we follow a delayed schedule,1,,,,,,,,,,,,,,,,,,,we,we,ACTIVE,follow,follow,follow,PresentSimple,delay,delayed,,,,,schedule,schedule
23,i decided to split prevnar and hib because of fear that she could actually get meningitis by having both viruses injected at once.,c2430045271,stephsteph20,a44380708,09/05/2013,delay_verbs,i decided to split prevnar,1,,,,,,,i,i,decide,decided,decided,PastSimple,,,,,,,,,,split,split,to split,Infinite,,,,,,,"prevnar, hib","prevnar, hib"
24,"vaccinations = all 7, on schedule - i caved too including the rotavirus",c2013914010,anothermommy2,a2996775,01/06/2009,schedule_noun,schedule - i caved,1,,,,,,,,,,,,,,,,,,,i,i,ACTIVE,cave,caved,caved,PastSimple,,,,,,,schedule,schedule
25,"there is no evidence delayed schedules work, and during the time you delay you leave your child at risk for preventable disease.",c2444636879,katyrin,a47580622,02/04/2014,delay_verbs,you delay,1,,,,,,,,,,,,,,,,,,,you,you,ACTIVE,delay,delay,delay,PresentSimple,,,,,,,,
26,"as for me, i vax'd my dd on a slightly delayed schedule and declined certain vaccines.",c2406847181,Andicam29,a39051109,01/07/2013,schedule_noun,i vax'd my dd on a slightly delayed schedule,1,,,,,,,,,,,,,,,,,,,i,i,ACTIVE,vax'd,vax'd,vax'd,PresentSimple,delay,delayed,,,,,schedule,schedule
27,i will be vaccinating on the recommended schedule.,c2109364451,LearningfromLiam,a21418503,01/28/2010,schedule_noun,i will be vaccinating on the recommended schedule,1,,,,,,,,,,,,,,,,,,,i,i,ACTIVE,vaccinate,vaccinating,will be vaccinating,Future,recommend,recommended,,,,,schedule,schedule
28,"it has not i will not vaccinate, i just choose to delay the process.",c2442393416,Bigbear_n_a_bean,a47125831,01/16/2014,delay_verbs,i just choose to delay the process,1,,,,,,,i,i,choose,choose,choose,PresentSimple,,,,,,,,,,delay,delay,to delay,Infinite,,,,,,,process,process
29,i just realized that i must have a delayed schedule as well because he recieved 1 shot at his 1 month and 2 at his 2 month and his rotavirus.,c2097537408,frodopup,a20596385,12/29/2009,schedule_noun,i must have a delayed schedule,1,,,,,,,,,,,,,,,,,,,i,i,ACTIVE,have,have,must have,Undetermined,delay,delayed,,,,,schedule,schedule
30,we started out using the dr sears schedule but we modified it a little.,c2142228471,1_time_momma,a22412449,04/18/2010,schedule_noun,we started out using the dr sears schedule,1,,,,,,,we,we,start,started,started,PastSimple,,,,,,,,,,use,using,using,Gerundive,,,sears,sears,,,schedule,schedule
31,"like i mentioned in the earlier post...i am comfortable with the recommended vax schedule with the exception of hepb, chickenpox , and guardasil.",c2187537212,StnMtnBaby,a22930261,07/23/2010,schedule_noun,i am comfortable with the recommended vax schedule,1,,,,,,,,,,,,,,,,,,,i,i,ACTIVE,be,am,am,PresentSimple,recommend,recommended,vax,vax,,,schedule,schedule
32,"the infant immune system is challenged far more throughout the first year of their life from common colds, viral infections & daily living than from the vaccine schedule.",c2550284453,MarieAntoinette1,a65722651,02/21/2017,schedule_noun,"infant immune system is challenged far more throughout the first year of their life from common colds, viral infections & daily living than from the vaccine schedule",1,,,,,,,,,,,,,immune,immune,infant,infant,,,system,system,PASSIVE,challenge,challenged,is challenged,PresentPassive,,,vaccine,vaccine,,,schedule,schedule
33,"in addition, an infant is exposed although the current routine childhood vaccine schedule contains more vaccines than the schedule in the late 1990s, the maximum number of antigens that a child could be exposed to by 2 years of age in 201 three is 315, compared with several thousand in the late 1990s.",c2550284453,MarieAntoinette1,a65722651,02/21/2017,schedule_noun,routine childhood vaccine schedule contains more vaccines than the schedule,1,,,,,,,,,,,,,"routine, current","routine, current",vaccine,vaccine,,,schedule,schedule,ACTIVE,contain,contains,contains,PresentSimple,,,,,,,schedule,schedule
34,"the risk of a febrile seizure following the mmr is approximately one case in 3,000 doses for children aged 1 two to 15 months but one case in 1,500 doses for children aged 16 to 2 three months “this study adds to the evidence that the best way to prevent disease and minimize side effects from vaccines is to vaccinate on the recommended schedule,” says simon hambidge, lead author of the study and the director of general pediatrics at denver health.",c2550284453,MarieAntoinette1,a65722651,02/21/2017,schedule_noun,best way to prevent disease and minimize side effects from vaccines is to vaccinate on the recommended schedule,1,good,best,,,,,way,way,be,is,is,PresentSimple,,,,,,,,,,vaccinate,vaccinate,to vaccinate,Infinite,recommend,recommended,,,,,schedule,schedule
35,"i am a nurse-turned-stay-at-home mom, i vaccinate on schedule, but i hate the flu shot.",c2445132905,AllKindsOfFun,a47683303,02/08/2014,schedule_noun,i vaccinate on schedule,1,,,,,,,,,,,,,,,,,,,i,i,ACTIVE,vaccinate,vaccinate,vaccinate,PresentSimple,,,,,,,schedule,schedule
36,my pedi said that we are done if you are on the 'normal' schedule.,c2387253039,josiahsmomm,a34419016,06/26/2012,schedule_noun,you are on the 'normal' schedule,1,,,,,,,,,,,,,,,,,,,you,you,ACTIVE,be,are,are,PresentSimple,normal,normal,,,,,schedule,schedule
37,if you delayed any for any reason then you may be behind.,c2387253039,josiahsmomm,a34419016,06/26/2012,delay_verbs,you delayed any,1,,,,,,,,,,,,,,,,,,,you,you,ACTIVE,delay,delayed,delayed,PastSimple,,,,,,,any,any
38,but if you were on the 'normal' schedule you should have completed them all at 18 months and be good until age 4-5.,c2387253039,josiahsmomm,a34419016,06/26/2012,schedule_noun,you were on the 'normal' schedule,1,,,,,,,,,,,,,,,,,,,you,you,ACTIVE,be,were,were,PastSimple,normal,normal,,,,,schedule,schedule
39,"=) for example, i was supposed to get an anthrax vaccine, but we were trying to conceive, so our squadron doc put a note in my chart that i could delay the vax, but with the understanding that if i had orders to deploy, i would get the vax at that time.",c2420831669,Crazy1Crazy2Crazy3,a42235075,05/25/2013,delay_verbs,i could delay the vax,1,,,,,,,,,,,,,,,,,,,i,i,ACTIVE,delay,delay,could delay,Conditional,,,,,,,vax,vax
40,"i do not really think that this pertains as much to the selective or delayed vaccinators, either.",c2370586118,emilyemm,a31260877,01/19/2012,delay_verbs,delayed,1,,,,,,,,,,,,,,,,,,,,,PASSIVE,delay,delayed,delayed,PastParticipe,,,,,,,,
41,we vax on schedule only reaction so far has been soreness at site and slight fever and tylenol helped resolve those issues.,c2374807159,SSSFam,a31943683,02/29/2012,schedule_noun,we vax on schedule,1,,,,,,,,,,,,,,,,,,,we,we,ACTIVE,vax,vax,vax,PresentSimple,,,,,,,schedule,schedule
42,i did not delay with my first and he got horribly sick.,c2522745429,amyjaxx,a61334368,02/06/2016,delay_verbs,i did not delay,-1,,,,,,,,,,,,,,,,,,,i,i,ACTIVE,delay,delay,did delay,PastSimple,,,,,,,,
43,i do them at the reccomended schedule because i only want to traumatize my little one once... 2 or 3 shots is not that much worse than one and then he will not have any more for months.,c2402559409,jessinflux,a38096482,11/26/2012,schedule_noun,i do them at the reccomended schedule,1,,,,,,,,,,,,,,,,,,,i,i,ACTIVE,do,do,do,PresentSimple,reccomende,reccomended,,,,,schedule,schedule
44,"afterwise they tell you... sorry, i did not know... and it has done already... we are going to do it on schedule too, and i don;t even know if my baby can actually get that vaccine, because i am not supposed to get it ever, it can make me really sick, because i had tifoidea fever when i was 11, and since then my stomach have a mind of his own, but again... if you don;t want the shots, make sure you put it on paper, make them sign it, and your husband follows the baby everywhere....",c2126776011,miamiquacks,a21950451,03/11/2010,schedule_noun,we are going to do it on schedule,1,,,,,,,we,we,go,going,are going,PresentContinuous,,,,,,,,,,do,do,to do,Infinite,,,,,,,schedule,schedule
45,so we are delaying until it has pertinent.,c2285386390,SmplyMom,a26084213,01/24/2011,delay_verbs,we are delaying,1,,,,,,,,,,,,,,,,,,,we,we,ACTIVE,delay,delaying,are delaying,PresentContinuous,,,,,,,,
46,"i showed up at the peds for her 10 month and he asked me why i would bring her in for colds or fever and not for baby well check ups, so i told him i wanted to just delay a few and he agreed because he wants me to be comfortable and work as partners.",c2356079849,Yilsip,a28890869,08/14/2011,delay_verbs,i wanted to just delay a few,1,,,,,,,i,i,want,wanted,wanted,PastSimple,,,,,,,,,,delay,delay,to delay,Infinite,,,,,,,few,few
47,"if you pick up the vaccine book by dr sears, he gives an example of a delayed vaccination schedule.",c2204242807,Courtney829,a24104403,08/29/2010,schedule_noun,he gives an example of a delayed vaccination schedule,1,,,,,,,,,,,,,,,,,,,he,he,ACTIVE,give,gives,gives,PresentSimple,delay,delayed,vaccination,vaccination,,,schedule,schedule
48,i will continue to delay and selectively vax mine.,c2056454731,EasyComeEasyGo,a13649985,08/17/2009,delay_verbs,i will continue to delay,1,,,,,,,i,i,continue,continue,will continue,Future,,,,,,,,,,delay,delay,to delay,Infinite,,,,,,,,
49,i really want to space out mmr... that is the one people think may be linked to autism.,c2143354425,chrissybearjohnson,a22449751,04/21/2010,delay_verbs,i really want to space out mmr,1,,,,,,,i,i,want,want,want,PresentSimple,,,,,,,,,,space,space,to space,Infinite,,,,,,,mmr,mmr
50,estimated time of arrival: she gets all required and recommended vaccines on the regular schedule.,c2551423901,ScarlettWings,a65912221,03/14/2017,schedule_noun,recommended vaccines on the regular schedule,1,,,,,,,,,,,,,,,,,,,,,PASSIVE,recommend,recommended,recommended,PastParticipe,regular,regular,,,,,schedule,schedule
51,"if you do the regular schedule and they have not missed any, then the next round is at 1 two months.",c2461461914,Katerz25,a50969893,07/09/2014,schedule_noun,you do the regular schedule,1,,,,,,,,,,,,,,,,,,,you,you,ACTIVE,do,do,do,PresentSimple,regular,regular,,,,,schedule,schedule
52,"if you delay vax or missed some for some reason, then you will have some at 9 months.",c2461461914,Katerz25,a50969893,07/09/2014,delay_verbs,you delay vax,1,,,,,,,,,,,,,,,,,,,you,you,ACTIVE,delay,delay,delay,PresentSimple,,,,,,,vax,vax
53,"i am also spacing out my little one's vaccines, we are only giving her one aluminum containing vaccine at a time.",c2056579623,linnie98273,a13684575,08/18/2009,delay_verbs,i am also spacing out my little one's vaccines,1,,,,,,,,,,,,,,,,,,,i,i,ACTIVE,space,spacing,am spacing,PresentContinuous,,,,,one,one,vaccine,vaccines
54,to the original poster go to the none and select and delayed vaccines board for the info you are seeking.,c2470051620,sugarcrystal8,a52594585,09/26/2014,delay_verbs,delayed vaccines board,1,,,,,,,,,,,,,,,,,,,,,PASSIVE,delay,delayed,delayed,PastParticipe,,,vaccine,vaccines,,,board,board
55,my pedi actually prefers to delay the mmr in particular until at least 18mos.,c2470051620,sugarcrystal8,a52594585,09/26/2014,delay_verbs,my pedi actually prefers to delay the mmr,1,,,,,my,my,pedi,pedi,prefer,prefers,prefers,PresentSimple,,,,,,,,,,delay,delay,to delay,Infinite,,,,,,,mmr,mmr
56,my nephew developed seizures after his mmr so i am definitely delaying as i saw the changes in him first hand.,c2470051620,sugarcrystal8,a52594585,09/26/2014,delay_verbs,i am definitely delaying,1,,,,,,,,,,,,,,,,,,,i,i,ACTIVE,delay,delaying,am delaying,PresentContinuous,,,,,,,,
57,i do think it is every parent's right to make a decision for their own children and i have plenty of friends who space out their vaccinatoins or opt not to have them.,c2067612152,jennyannwhite,a15953545,09/30/2009,delay_verbs,who space out their vaccinatoins,1,,,,,,,,,,,,,,,,,,,who,who,ACTIVE,space,space,space,PresentSimple,,,,,their,their,vaccinatoin,vaccinatoins
58,we do a selected and delayed series.,c2378158375,spytfyre13,a32483261,04/03/2012,delay_verbs,delayed,1,,,,,,,,,,,,,,,,,,,,,PASSIVE,delay,delayed,delayed,PastParticipe,,,,,,,,
59,"she is talking about robert sears, a pyramid scheme promoting physician who claims that vaccines work yet encourages parents to delay or skip.",c2577991341,heathrbear,a70214096,10/07/2018,delay_verbs,"she is talking about robert sears, a pyramid scheme promoting physician who claims that vaccines work yet encourages parents to delay",1,,,,,,,she,she,encourage,encourages,encourages,PresentSimple,,,,,,,,,,delay,delay,to delay,Infinite,,,,,,,,
60,we take our children to all wellness visits and vaccinate on schedule.,c2410909315,StevieMicks,a39965611,02/13/2013,schedule_noun,we take our children to all wellness visits and vaccinate on schedule,1,,,,,,,,,,,,,,,,,,,we,we,ACTIVE,vaccinate,vaccinate,vaccinate,Infinite,,,,,,,schedule,schedule
61,"also the only reason my ped will space them out of delay them in any way, shape or form",c2570989233,GlitterInTheAir,a69159206,04/26/2018,delay_verbs,my ped will space them,1,,,,,,,,,,,,,,,,,my,my,ped,ped,ACTIVE,space,space,will space,Future,,,,,,,them,them
62,and not everyone who is delayed and selective and non-vaxing believe in the autism link either.,c2358567231,Shryock1129,a29341623,09/10/2011,delay_verbs,who is delayed,1,,,,,,,,,,,,,,,,,,,who,who,PASSIVE,delay,delayed,is delayed,PresentPassive,,,,,,,,
63,i get really tired of the labeling and discrimination that people have toward those who choose to vaccinate differently than the recommended schedule .,c2358567231,Shryock1129,a29341623,09/10/2011,schedule_noun,who choose to vaccinate differently than the recommended schedule,1,,,,,,,who,who,choose,choose,choose,PresentSimple,,,,,,,,,,vaccinate,vaccinate,to vaccinate,Infinite,recommend,recommended,,,,,schedule,schedule
64,it has a very delayed vaccination schedule.,c2540544849,emtmedic17,a64086145,09/17/2016,schedule_noun,it has a very delayed vaccination schedule,1,,,,,,,,,,,,,,,,,,,it,it,ACTIVE,have,has,has,PresentSimple,delayed,delayed,vaccination,vaccination,,,schedule,schedule
65,"so, my significant other and i talked about it and we are doing a very delayed schedule.",c2540544849,emtmedic17,a64086145,09/17/2016,schedule_noun,we are doing a very delayed schedule,1,,,,,,,,,,,,,,,,,,,we,we,ACTIVE,do,doing,are doing,PresentContinuous,delayed,delayed,,,,,schedule,schedule
66,"we are refusing rotovirus, and delaying heb b for a few years.",c2446717021,JessBear22,a48002110,02/22/2014,delay_verbs,"we are refusing rotovirus, and delaying heb b",1,,,,,,,,,,,,,,,,,,,we,we,ACTIVE,delay,delaying,delaying,Gerundive,,,heb,heb,,,b,b
67,"technically, this is considered ""on schedule"" bc she will be up to date at her four month appt .",c2446717021,JessBear22,a48002110,02/22/2014,schedule_noun,"this is considered ""on schedule",1,,,,,,,,,,,,,,,,,,,this,this,PASSIVE,consider,considered,is considered,PresentPassive,,,,,,,schedule,schedule
68,"i think the cdc schedule is aggressive and makes it conveniently scheduled to coincide with well checks, but i have the luxury of staying home with my kid and can go to the doctor anytime i please to space them out.",c2559614697,kitley,a67241242,08/17/2017,delay_verbs,i please to space them,1,,,,,,,i,i,please,please,please,PresentSimple,,,,,,,,,,space,space,to space,Infinite,,,,,,,them,them
69,i delayed the hep b until one month.,c2441827309,MissTerraBella,a46980559,01/11/2014,delay_verbs,i delayed the hep b,1,,,,,,,,,,,,,,,,,,,i,i,ACTIVE,delay,delayed,delayed,PastSimple,,,hep,hep,,,b,b
70,i am going to vaccinate on schedule.,c2108032293,cadorman060610,a21333431,01/26/2010,schedule_noun,i am going to vaccinate on schedule,1,,,,,,,i,i,go,going,am going,PresentContinuous,,,,,,,,,,vaccinate,vaccinate,to vaccinate,Infinite,,,,,,,schedule,schedule
71,i did not delay it but i would look at the cdc vaccination chart and see what their age range is.,c2450424527,proudmommy121212,a48761473,03/28/2014,delay_verbs,i did not delay it,-1,,,,,,,,,,,,,,,,,,,i,i,ACTIVE,delay,delay,did delay,PastSimple,,,,,,,it,it
72,"we considered the drsears schedule, but in the end decided to go with the cdc one except the hep b vaccine, which we will delay indefinitely.",c2115314181,Penguin_ar,a21600031,02/12/2010,schedule_noun,we considered the drsears schedule,1,,,,,,,,,,,,,,,,,,,we,we,ACTIVE,consider,considered,considered,PastSimple,,,,,,,schedule,schedule
73,"we considered the drsears schedule, but in the end decided to go with the cdc one except the hep b vaccine, which we will delay indefinitely.",c2115314181,Penguin_ar,a21600031,02/12/2010,delay_verbs,which we will delay,1,,,,,,,,,,,,,,,,,,,we,we,ACTIVE,delay,delay,will delay,Future,,,,,,,which,which
74,"i have done some delayed for my kids, and i did not have problems, but i tried to stick within the ""recommended"" timeframe, so i do not know if that makes a difference.",c2280360312,Crazy1Crazy2Crazy3,a25946221,01/15/2011,delay_verbs,some delayed,1,,,,,,,,,,,,,,,,,,,some,some,ACTIVE,delay,delayed,delayed,PastParticipe,,,,,,,,
75,"we vaccinate on our pediatrician's ""delayed"" schedule.",c2355981634,johanna8683,a28870531,08/12/2011,schedule_noun,"we vaccinate on our pediatrician's ""delayed"" schedule",1,,,,,,,,,,,,,,,,,,,we,we,ACTIVE,vaccinate,vaccinate,vaccinate,PresentSimple,delayed,delayed,,,pediatrician,pediatrician,schedule,schedule
76,he is had every one that a baby on the cdc schedule would have had up until 12months) but we had more frequent appointments for vaccinations.,c2355981634,johanna8683,a28870531,08/12/2011,schedule_noun,baby on the cdc schedule would have had,1,,,,,,,,,,,,,,,,,,,baby,baby,ACTIVE,have,had,would have had,Conditional,,,cdc,cdc,,,schedule,schedule
77,"yes, on somewhat delayed and spread out schedule.",c2353882754,HappyMom20191,a28608527,07/21/2011,schedule_noun,spread out schedule,1,,,,,,,,,,,,,,,,,,,,,PASSIVE,spread,spread,spread,PastParticipe,,,,,,,schedule,schedule
78,"needless to say, i will be vaccinating my daughter on schedule.",c2496665153,BunnyChels,a57124885,05/28/2015,schedule_noun,i will be vaccinating my daughter on schedule,1,,,,,,,,,,,,,,,,,,,i,i,ACTIVE,vaccinate,vaccinating,will be vaccinating,Future,,,,,,,schedule,schedule
79,a big reason is the schedule for the hep b series.,c2112855537,katya74802,a21509681,02/07/2010,schedule_noun,big reason is the schedule,1,,,,,,,,,,,,,big,big,,,,,reason,reason,ACTIVE,be,is,is,PresentSimple,,,,,,,schedule,schedule
80,i will vaccinate using a delayed vaccine schedule that we use at my work.,c2291247507,ddevine1979,a26157463,01/30/2011,schedule_noun,i will vaccinate using a delayed vaccine schedule,1,,,,,,,i,i,vaccinate,vaccinate,will vaccinate,Future,,,,,,,,,,use,using,using,Gerundive,delay,delayed,vaccine,vaccine,,,schedule,schedule
81,"we delayed his mmr a month , so he got his chicken pox right after his bday ... that is what i was thinking too though !",c2543848349,Mrs2453,a64684747,11/07/2016,delay_verbs,we delayed his mmr,1,,,,,,,,,,,,,,,,,,,we,we,ACTIVE,delay,delayed,delayed,PastSimple,,,,,his,his,mmr,mmr
82,"i did not read all of the responses, but we do the suggested vaccination schedule.",c2068262154,Tande7849,a15967405,10/01/2009,schedule_noun,we do the suggested vaccination schedule,1,,,,,,,,,,,,,,,,,,,we,we,ACTIVE,do,do,do,PresentSimple,suggest,suggested,vaccination,vaccination,,,schedule,schedule
83,"at the moment wedo none but i consider my self to be delayed and selective, since i am on the fence.",c2422291203,mama2my5,a42554722,06/10/2013,delay_verbs,my self to be delayed,1,,,,,,,,,,,,,,,,,my,my,self,self,PASSIVE,delay,delayed,to be delayed,Infinite,,,,,,,,
84,"i will vaccinate my little boy on schedule because i know that the risks of the diseases i am vaccinating against are far worse than the risk of the vaccines themselves, especially with all the uninformed people endangering my child by not vaccinating their own.",c2356723605,jennykie,a29055167,08/21/2011,schedule_noun,i will vaccinate my little boy on schedule,1,,,,,,,,,,,,,,,,,,,i,i,ACTIVE,vaccinate,vaccinate,will vaccinate,Future,,,,,,,schedule,schedule
85,i go with the cdc schedule.,c2561165756,kissfive,a67509958,09/19/2017,schedule_noun,i go with the cdc schedule,1,,,,,,,,,,,,,,,,,,,i,i,ACTIVE,go,go,go,PresentSimple,,,cdc,cdc,,,schedule,schedule
86,it has th ed 1 year shots you need to really research and space out.,c2501431771,kynziesmommie,a57894874,07/11/2015,delay_verbs,space,1,,,,,,,,,,,,,,,,,,,,,PASSIVE,space,space,space,Infinite,,,,,,,,
